time_s,time_h,terminal_voltage_v,current_a,discharge_capacity_ah
0.0,0.0,3.7800805640468536,0.680616,0.0
0.012091411612090592,3.358725447802942e-06,3.780065540555922,0.680616,2.2860022793818477e-06
0.024182823224181183,6.717450895605884e-06,3.7800506064566326,0.680616,4.572004558763695e-06
0.048365646448362366,1.3434901791211769e-05,3.7800209524950574,0.680616,9.14400911752739e-06
0.09673129289672473,2.6869803582423537e-05,3.779962702782943,0.680616,1.8288018235054778e-05
0.19346258579344947,5.3739607164847074e-05,3.77984995165729,0.680616,3.6576036470109556e-05
0.38692517158689893,0.00010747921432969415,3.779638445104577,0.680616,7.315207294021911e-05
0.7738503431737979,0.0002149584286593883,3.7792611923795643,0.680616,0.00014630414588043822
1.5477006863475957,0.0004299168573187766,3.7786364414959444,0.680616,0.00029260829176087645
2.3215510295213937,0.0006448752859781649,3.7781377867617287,0.680616,0.00043891243764131464
3.869251715868989,0.0010747921432969413,3.777328394861805,0.680616,0.000731520729402191
5.416952402216585,0.0015047090006157179,3.7766889293736026,0.680616,0.0010241290211630675
6.96465308856418,0.0019346258579344944,3.776141920417912,0.680616,0.001316737312923944
10.060054461259371,0.0027944595725720475,3.7751805330516874,0.680616,0.0019019538964456968
13.155455833954562,0.0036542932872096006,3.774352963497729,0.680616,0.00248717047996745
16.250857206649755,0.004514127001847154,3.7736092559752845,0.680616,0.003072387063489203
19.346258579344948,0.005373960716484708,3.7729226282549484,0.680616,0.003657603647010956
25.53706132473533,0.007093628145759814,3.7716765200150104,0.680616,0.004828036814054462
31.72786407012571,0.00881329557503492,3.770532467320079,0.680616,0.005998469981097968
42.482673425288425,0.011800742618135674,3.768687735731033,0.680616,0.008031774237785031
52.16200184493487,0.014489444956926353,3.7671622904611954,0.680616,0.009861748068803388
61.841330264581316,0.017178147295717032,3.765726576409185,0.680616,0.011691721899821745
71.52065868422775,0.01986684963450771,3.764356253678585,0.680616,0.013521695730840102
81.19998710387421,0.02255555197329839,3.7630353380528403,0.680616,0.01535166956185846
100.5586439431671,0.027932956650879748,3.7605089668015594,0.680616,0.019011617223895175
119.91730078245999,0.03331036132846111,3.758086512675362,0.680616,0.02267156488593189
139.27595762175287,0.038687766006042464,3.755733868037727,0.680616,0.026331512547968602
158.63461446104577,0.044065170683623825,3.753437618175178,0.680616,0.029991460210005316
177.99327130033868,0.049442575361205186,3.751191363381036,0.680616,0.03365140787204203
197.35192813963158,0.05481998003878655,3.7489886731554316,0.680616,0.037311355534078744
216.7105849789245,0.060197384716367916,3.746822991682641,0.680616,0.04097130319611546
236.0692418182174,0.06557478939394927,3.744689782037422,0.680616,0.04463125085815217
255.4278986575103,0.07095219407153064,3.7425874793274625,0.680616,0.048291198520188885
274.7865554968032,0.07632959874911201,3.74051613272637,0.680616,0.0519511461822256
313.503869175389,0.08708440810427473,3.7364638575233755,0.680616,0.05927104150629903
352.2211828539748,0.09783921745943745,3.732535404057323,0.680616,0.06659093683037245
390.93849653256063,0.10859402681460018,3.7287316872654337,0.680616,0.07391083215444588
429.65581021114644,0.1193488361697629,3.725053183782311,0.680616,0.08123072747851931
468.37312388973226,0.13010364552492562,3.7215006404283,0.680616,0.08855062280259274
507.09043756831807,0.14085845488008836,3.7180745070398347,0.680616,0.09587051812666617
584.5250649254897,0.1623680735904138,3.711598781707738,0.680616,0.11051030877481302
661.9596922826613,0.18387769230073925,3.7056146184810967,0.680616,0.12515009942295988
739.3943196398329,0.2053873110110647,3.7001002384663404,0.680616,0.13978989007110673
816.8289469970046,0.22689692972139014,3.6950267045173857,0.680616,0.1544296807192536
894.2635743541762,0.2484065484317156,3.690360028833725,0.680616,0.16906947136740044
1049.1328290685192,0.29142578585236645,3.6820804819465236,0.680616,0.19834905266369415
1204.0020837828624,0.33444502327301734,3.6747919758238954,0.680616,0.22762863395998786
1513.7405932115487,0.42048349811431907,3.6572095449522743,0.680616,0.2861877965525753
2133.217612068921,0.5925604477969225,3.6172549368044,0.680616,0.40330612173775016
3372.171649783666,0.9367143471621294,3.531364637628867,0.680616,0.6375427721080998
3600.0,1.0,3.1915673891728233,0.680616,0.6806159999999999
