model,initial_voltage_v,final_voltage_v,minimum_voltage_v,maximum_voltage_v,discharged_capacity_ah,average_voltage_v,approximate_energy_wh,simulation_duration_s,runtime_s,status
SPM,3.7800805640468536,3.000000000000005,3.000000000000005,3.7800805640468536,0.6893116748816989,3.7279104040803213,2.4926116578464805,3645.994260455405,0.03766420797910541,SUCCESS
SPMe,3.7708131662594604,2.999999999999997,2.999999999999997,3.7708131662594604,0.6885710127016388,3.7194870167487766,2.4767302497575128,3642.0766566256148,0.08626145799644291,SUCCESS
DFN,3.771710382817851,2.9999999999997775,2.9999999999997775,3.771710382817851,0.688544808600423,3.604934492485621,2.486464215014278,3641.9380545880795,0.10524204198736697,SUCCESS
